129,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,140,
145,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,144,
145,172,174,176,172,175,173,173,177,173,177,172,174,172,173,174,172,173,176,174,173,174,177,176,177,173,174,173,177,175,172,144,
145,20,20,20,20,20,20,20,20,20,20,20,20,33,37,37,37,37,32,20,20,20,20,20,20,20,20,20,20,20,20,144,
145,20,20,20,134,148,148,135,20,20,20,20,31,15,6,134,135,6,14,34,20,20,20,20,134,148,148,135,20,20,20,144,
145,20,20,20,3,4,4,5,20,20,20,31,15,6,6,3,5,6,6,14,32,20,20,20,3,4,4,5,20,20,20,144,
145,20,20,20,20,20,20,20,20,20,33,15,6,6,6,6,6,6,6,6,14,34,20,20,20,20,20,20,20,20,20,144,
145,20,20,20,20,20,20,20,20,31,15,6,6,6,6,6,6,6,6,6,6,14,32,20,20,20,20,20,20,20,20,144,
145,20,20,20,20,20,20,20,31,131,6,6,6,6,134,148,148,135,6,6,6,6,131,32,20,20,20,20,20,20,20,144,
145,20,20,20,20,20,20,20,35,149,6,6,6,6,3,4,4,5,6,6,6,6,149,36,20,20,20,20,20,20,20,144,
145,20,20,20,20,20,20,20,35,127,6,6,6,6,6,6,6,6,6,6,6,6,127,36,20,20,20,20,20,20,20,144,
145,20,20,20,20,20,20,20,29,2,6,6,6,6,6,6,6,6,6,6,6,6,2,30,20,20,20,20,20,20,20,144,
145,20,20,20,20,20,20,20,20,29,17,6,6,6,6,6,6,6,6,6,6,16,28,20,20,20,20,20,20,20,20,144,
145,20,20,20,134,148,148,135,20,20,26,17,6,6,6,134,135,6,6,6,16,30,20,20,134,148,148,135,20,20,20,144,
145,20,20,20,3,4,4,5,20,20,20,29,17,6,6,3,5,6,6,16,30,20,20,20,3,4,4,5,20,20,20,144,
145,20,20,20,20,20,20,20,20,20,20,20,26,17,6,6,6,6,16,30,20,20,20,20,20,20,20,20,20,20,20,144,
145,20,20,20,20,20,20,20,20,20,20,20,20,29,27,27,27,27,28,20,20,20,20,20,20,20,20,20,20,20,20,144,
143,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,142
